time_ns,index,x,d,y,err,w0,w1,w2,w3
6115000,0,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6125000,1,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6135000,2,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6145000,3,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6155000,4,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6165000,5,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6175000,6,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6185000,7,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6195000,8,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6205000,9,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6215000,10,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6225000,11,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6235000,12,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6245000,13,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6255000,14,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6265000,15,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6275000,16,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6285000,17,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6295000,18,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6305000,19,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6315000,20,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6325000,21,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6335000,22,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6345000,23,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6355000,24,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6365000,25,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6375000,26,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6385000,27,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6395000,28,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6405000,29,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6415000,30,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6425000,31,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6435000,32,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6445000,33,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6455000,34,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6465000,35,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6475000,36,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6485000,37,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6495000,38,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
6505000,39,0.275879,-0.240967,0.000000,-0.240967,0.000000,0.000000,0.000000,0.000000
